,Open,High,Low,Close,Volume
2018-01-26 08:30:00,2859.5,2887.0,2853.596,2880.0,405444
2018-01-26 09:00:00,2880.5,2892.0,2879.0,2883.0,171185
2018-01-26 09:30:00,2883.0,2885.0,2866.5,2872.0,149551
2018-01-26 10:00:00,2871.0,2878.0,2869.5,2875.0,65098
2018-01-26 10:30:00,2875.5,2880.505,2874.0,2876.5,77948
2018-01-26 11:00:00,2876.0,2882.0,2875.34,2880.0,69146
2018-01-26 11:30:00,2879.5,2883.357,2875.5,2877.0,137578
2018-01-26 12:00:00,2877.0,2882.0,2876.5,2877.0,52125
2018-01-26 12:30:00,2877.0,2883.1516,2877.0,2880.0,35175
2018-01-26 13:00:00,2880.335,2883.0,2873.0,2878.17,86841
2018-01-26 13:30:00,2878.17,2882.6667,2875.5,2880.0,55834
2018-01-26 14:00:00,2879.0,2901.5,2879.0,2895.5,89027
2018-01-26 14:30:00,2895.5,2896.0,2883.5,2888.5,88687
2018-01-26 15:00:00,2888.0,2888.0,2880.0,2881.5,200279
2018-01-26 15:30:00,2881.5,2892.5,2880.0,2891.0,128441
2018-01-26 16:00:00,2892.0,2901.5,2890.5,2901.5,99714
2018-01-26 16:30:00,2902.0,2919.5,2900.5,2918.5,168215
2018-01-29 08:30:00,2920.5,2923.0,2909.0,2912.0,73406
2018-01-29 09:00:00,2912.0,2912.0,2900.0,2908.5,40780
2018-01-29 09:30:00,2908.46,2912.64,2906.5,2911.0,38664
2018-01-29 10:00:00,2910.0,2911.0,2895.0,2895.6364,41638
2018-01-29 10:30:00,2895.0,2914.5,2894.0,2912.17,126259
2018-01-29 11:00:00,2912.5,2925.5,2910.0,2921.64,73364
2018-01-29 11:30:00,2922.0,2925.0,2916.0,2917.82,37458
2018-01-29 12:00:00,2918.0,2924.5,2917.5,2921.0,29946
2018-01-29 12:30:00,2919.0,2920.0,2911.5,2913.0,105972
2018-01-29 13:00:00,2912.5,2922.5,2910.0,2916.0,55991
2018-01-29 13:30:00,2916.14,2923.4971,2912.5,2923.0,235038
2018-01-29 14:00:00,2923.5,2924.0,2914.5,2915.0,180797
2018-01-29 14:30:00,2915.5,2924.25,2912.5,2917.0,65484
2018-01-29 15:00:00,2918.0,2921.0,2910.5,2911.5,180535
2018-01-29 15:30:00,2911.5,2918.0,2907.0,2915.0,238639
2018-01-29 16:00:00,2914.0,2918.0,2912.5,2916.5,63365
